001
24-08-25 11:55
1814
412
Date,Time,Pos3Dx,Pos3Dy,Pos3Dz,Course,Pitch,Roll,Distance,Speed,Temp,BattV
2024-08-25,12:01:53,-2.99,-5.15,4.80,124.90,-14.30,-34.30,134.52,0.00,22.60,3.83
2024-08-25,12:01:55,-3.11,-5.00,4.80,143.30,-22.40,-23.10,134.71,6.10,22.60,-7.00
2024-08-25,12:01:58,-3.11,-5.00,5.20,175.10,-9.70,-0.20,134.71,10.70,22.60,3.83
2024-08-25,12:02:00,-3.56,-4.98,5.20,202.10,-10.50,8.90,135.35,31.20,22.60,-8.00
2024-08-25,12:02:04,-3.56,-4.98,5.60,242.00,-6.30,10.70,135.35,7.30,22.40,3.83
2024-08-25,12:02:06,-3.62,-5.13,5.70,263.40,-8.30,20.80,135.87,14.10,22.40,-9.00
2024-08-25,12:02:32,-3.62,-5.13,4.90,228.30,-22.40,2.90,135.87,8.30,22.20,3.83
2024-08-25,12:02:34,-4.10,-6.11,5.00,249.00,-16.70,-1.90,137.35,35.50,22.20,3.83
2024-08-25,12:02:36,-4.61,-6.95,5.30,233.90,-27.90,-6.00,138.39,33.60,22.20,3.83
2024-08-25,12:02:38,-5.42,-7.91,5.80,224.10,-16.70,-5.60,139.74,40.30,22.30,3.83
2024-08-25,12:02:40,-5.85,-8.29,6.00,214.80,-23.90,-7.20,140.52,37.20,22.20,3.83
2024-08-25,12:02:41,-5.85,-8.29,6.20,213.40,-22.50,-3.40,140.52,37.20,22.20,-10.00
2024-08-25,12:02:47,-5.85,-8.29,6.50,200.80,-16.10,0.80,140.52,0.00,21.80,3.83
2024-08-25,12:02:49,-5.93,-8.31,6.40,191.10,-16.10,-1.00,140.65,3.60,21.70,3.83
2024-08-25,12:02:51,-6.38,-8.46,6.50,204.80,-27.00,-2.40,141.16,3.30,21.70,3.83
2024-08-25,12:02:53,-7.27,-8.94,6.70,212.70,-20.30,-4.80,142.19,32.20,21.60,3.83
2024-08-25,12:02:55,-8.14,-9.50,7.20,211.10,-20.00,-10.40,143.35,34.50,21.50,3.83
2024-08-25,12:02:57,-8.77,-9.89,7.40,215.50,0.30,-7.60,144.13,33.90,21.50,3.83
2024-08-25,12:02:59,-8.77,-9.89,7.50,212.50,-12.00,3.90,144.13,0.00,21.40,3.83
2024-08-25,12:03:01,-9.56,-10.07,7.60,180.80,-0.20,-2.60,144.97,30.40,21.30,3.83
2024-08-25,12:03:03,-10.34,-10.00,7.60,169.00,0.60,-8.50,145.74,33.00,21.20,3.83
2024-08-25,12:03:04,-10.34,-10.00,7.70,165.00,3.40,-8.40,145.74,33.00,21.20,-11.00
2024-08-25,12:03:13,-10.34,-10.00,7.70,140.10,1.70,-1.80,145.74,3.80,21.00,3.83
2024-08-25,12:03:15,-11.57,-8.98,7.70,141.90,1.10,3.10,147.35,32.50,21.00,3.83
2024-08-25,12:03:17,-12.46,-8.26,7.80,143.30,-5.80,2.00,148.52,33.60,21.00,3.83
2024-08-25,12:03:19,-13.41,-7.60,7.90,146.20,0.30,-3.90,149.68,39.90,20.90,3.83
2024-08-25,12:03:21,-14.57,-7.07,7.80,169.60,2.50,12.30,150.97,39.90,20.90,3.83
2024-08-25,12:03:23,-15.72,-6.99,7.90,177.60,-4.70,4.30,152.13,36.80,20.90,3.83
2024-08-25,12:03:25,-17.00,-6.92,8.00,177.50,2.30,2.90,153.42,39.40,20.90,3.83
2024-08-25,12:03:27,-17.51,-6.90,7.90,174.40,5.00,12.40,153.94,41.60,20.80,-12.00
2024-08-25,12:03:28,-17.51,-6.90,7.90,172.10,10.20,5.20,153.94,20.40,20.80,3.83
2024-08-25,12:03:30,-19.22,-6.67,7.80,184.20,-0.30,27.50,155.68,36.80,20.80,3.83
2024-08-25,12:03:32,-20.28,-6.97,7.80,207.10,-2.80,10.80,156.77,36.50,20.80,3.83
2024-08-25,12:03:33,-20.28,-6.97,7.80,201.50,5.70,3.90,156.77,36.50,20.80,-13.00
2024-08-25,12:03:51,-20.28,-6.97,7.60,187.00,-11.10,-2.40,156.77,2.00,20.80,3.83
2024-08-25,12:03:52,-20.28,-6.97,7.60,187.70,-5.30,8.00,156.97,2.00,20.80,-14.00
2024-08-25,12:03:53,-20.28,-6.97,7.60,194.10,-8.30,-1.70,156.97,3.20,20.80,3.83
2024-08-25,12:03:55,-21.59,-7.29,7.60,193.90,-6.60,12.80,158.32,27.40,20.80,3.83
2024-08-25,12:03:57,-22.52,-7.83,7.70,222.90,-23.00,10.40,159.42,33.30,20.80,3.83
2024-08-25,12:03:59,-23.22,-8.62,8.10,229.20,-5.10,1.70,160.58,35.10,20.80,3.83
2024-08-25,12:04:01,-24.09,-9.36,8.30,206.40,2.40,1.40,161.74,30.70,20.80,3.83
2024-08-25,12:04:03,-25.22,-9.60,8.30,180.90,10.90,-10.30,162.90,37.50,20.80,3.83
2024-08-25,12:04:05,-26.39,-9.35,8.10,148.20,23.60,-12.10,164.13,37.50,20.80,3.83
2024-08-25,12:04:07,-27.02,-8.62,7.80,113.50,28.70,-12.60,165.16,34.80,20.80,3.83
2024-08-25,12:04:09,-27.05,-7.78,7.50,75.90,22.90,-17.70,166.13,32.50,20.80,3.83
2024-08-25,12:04:11,-26.78,-7.02,7.10,58.30,13.40,-15.10,167.03,25.80,20.80,3.83
2024-08-25,12:04:13,-26.13,-6.41,6.80,32.30,15.00,-12.60,168.00,34.50,20.80,3.83
2024-08-25,12:04:15,-25.41,-6.02,6.70,20.20,5.90,-8.10,168.84,26.10,20.80,3.83
2024-08-25,12:04:17,-24.37,-5.84,6.90,357.70,-9.10,-15.40,169.94,30.00,20.90,3.83
2024-08-25,12:04:19,-23.21,-6.19,7.00,328.60,-10.10,-15.10,171.16,35.80,20.90,3.83
2024-08-25,12:04:21,-22.39,-7.08,7.10,297.70,-17.10,-9.40,172.39,34.20,20.90,3.83
2024-08-25,12:04:23,-22.22,-7.85,7.30,258.60,-23.80,-7.50,173.23,34.20,20.90,3.83
2024-08-25,12:04:24,-22.22,-7.85,7.30,246.60,-29.70,-7.80,173.23,34.20,20.90,-15.00
2024-08-25,12:04:26,-22.22,-7.85,7.80,199.50,-8.60,-3.70,173.23,10.60,20.90,3.83
2024-08-25,12:04:28,-23.29,-7.81,7.80,160.00,7.20,7.80,174.71,28.80,20.90,3.83
2024-08-25,12:04:30,-24.59,-7.47,7.70,174.50,24.80,18.20,176.06,38.30,20.80,3.83
2024-08-25,12:04:32,-25.52,-7.43,7.30,182.10,4.00,-2.60,177.10,30.20,20.80,3.83
2024-08-25,12:04:34,-26.20,-7.50,7.20,190.70,4.40,-6.90,177.81,22.90,20.80,3.83
2024-08-25,12:04:36,-26.87,-7.65,7.10,193.90,8.10,-5.00,178.52,23.70,20.90,3.83
2024-08-25,12:04:38,-27.53,-7.86,7.00,205.80,1.90,10.90,179.23,20.10,20.90,3.83
2024-08-25,12:04:40,-28.09,-8.18,7.00,220.40,-9.50,11.60,179.87,33.60,21.00,3.83
2024-08-25,12:04:42,-28.69,-9.01,7.00,241.60,-2.00,-1.20,180.90,31.90,21.00,3.83
2024-08-25,12:04:44,-29.32,-10.12,7.20,236.50,-1.10,-8.50,182.19,38.30,21.00,3.83
2024-08-25,12:04:46,-30.13,-11.13,7.20,226.40,-4.30,-13.40,183.48,39.10,21.00,3.83
2024-08-25,12:04:48,-30.90,-11.90,7.30,225.30,-2.40,-12.00,184.58,34.50,21.00,3.83
2024-08-25,12:04:50,-31.76,-12.77,7.30,225.30,4.70,-12.00,185.81,41.10,21.00,3.83
2024-08-25,12:04:52,-32.61,-13.65,7.30,224.10,-1.00,-10.50,187.03,37.50,20.90,3.83
2024-08-25,12:04:54,-33.37,-14.44,7.30,237.10,-16.80,-9.80,188.13,34.50,20.90,3.83
2024-08-25,12:04:56,-33.85,-15.45,7.60,249.80,-16.40,-7.70,189.29,35.50,20.90,3.83
2024-08-25,12:04:58,-34.25,-16.64,7.80,257.30,15.80,-5.50,190.58,45.50,20.90,3.83
2024-08-25,12:05:00,-34.42,-17.43,7.80,263.30,24.90,22.20,191.42,29.10,20.90,3.83
2024-08-25,12:05:02,-34.47,-17.56,7.60,239.00,-21.90,11.30,191.68,17.90,20.90,3.83
2024-08-25,12:05:03,-34.47,-17.56,7.60,225.10,-25.70,12.70,191.68,17.90,20.90,-16.00
2024-08-25,12:05:37,-34.47,-17.56,8.80,234.50,-3.40,-0.30,191.68,28.60,20.70,3.83
2024-08-25,12:05:39,-35.31,-18.43,8.80,209.10,7.00,-7.70,193.48,33.90,20.70,3.83
2024-08-25,12:05:41,-36.43,-18.70,8.80,181.50,3.80,-2.20,194.65,34.80,20.70,3.83
2024-08-25,12:05:43,-37.57,-18.31,8.80,137.10,16.60,-1.70,195.87,36.50,20.70,3.83
2024-08-25,12:05:45,-37.72,-18.10,8.60,108.90,30.10,6.90,196.19,36.80,20.70,-17.00
2024-08-25,12:05:47,-37.72,-18.10,8.50,95.10,22.80,10.40,196.19,12.20,20.70,3.83
2024-08-25,12:05:49,-37.80,-16.51,8.10,94.30,19.80,-2.90,197.87,31.90,20.70,3.83
2024-08-25,12:05:51,-37.90,-15.47,7.90,94.30,17.80,-5.10,198.97,35.80,20.70,3.83
2024-08-25,12:05:53,-37.91,-15.23,7.60,93.70,17.50,-2.80,199.23,35.10,20.70,-18.00
2024-08-25,12:06:27,-37.91,-15.23,7.10,150.20,-8.90,4.70,199.23,28.60,20.80,3.83
2024-08-25,12:06:29,-38.96,-14.94,7.20,172.30,-9.40,4.10,200.84,32.80,20.80,3.83
2024-08-25,12:06:31,-40.01,-14.89,7.40,179.50,-8.90,3.20,201.94,32.50,20.80,3.83
2024-08-25,12:06:33,-41.16,-15.15,7.60,210.50,-16.90,5.50,203.16,35.50,20.80,3.83
2024-08-25,12:06:35,-42.09,-15.78,7.90,209.40,-23.10,-4.20,204.32,36.50,20.80,3.83
2024-08-25,12:06:37,-42.56,-16.05,8.40,223.30,-28.90,16.20,205.03,35.50,20.80,3.83
2024-08-25,12:06:39,-43.02,-16.99,8.60,261.60,-22.00,5.40,206.13,34.80,20.80,3.83
2024-08-25,12:06:41,-42.93,-18.10,9.10,282.70,-7.60,12.30,207.35,34.80,20.80,3.83
2024-08-25,12:06:43,-42.43,-19.08,9.40,314.30,-20.50,-7.00,208.52,36.80,20.70,3.83
2024-08-25,12:06:45,-41.40,-19.58,9.40,353.30,-9.60,-13.10,209.68,37.90,20.70,3.83
2024-08-25,12:06:47,-40.25,-19.29,9.50,36.80,5.80,-1.50,210.90,35.50,20.70,3.83
2024-08-25,12:06:49,-39.48,-18.28,9.20,74.20,30.90,3.90,212.26,39.90,20.60,3.83
2024-08-25,12:06:51,-39.81,-17.29,8.90,136.50,20.00,9.50,213.42,34.50,20.60,3.83
2024-08-25,12:06:53,-39.81,-17.29,8.50,168.80,-1.30,0.80,213.61,34.20,20.60,-19.00
2024-08-25,12:07:00,-39.81,-17.29,8.60,184.50,-12.00,10.30,213.61,4.50,20.60,3.83
2024-08-25,12:07:02,-40.95,-17.30,8.90,172.70,-26.10,9.70,214.84,23.70,20.60,3.83
2024-08-25,12:07:04,-41.78,-17.07,9.10,156.40,-19.20,2.90,215.74,32.80,20.60,3.83
2024-08-25,12:07:06,-41.78,-17.07,9.50,149.70,-7.10,3.70,215.74,0.00,20.60,-20.00
2024-08-25,12:07:13,-41.78,-17.07,9.70,116.90,-10.20,-15.40,215.74,4.60,20.60,3.83
2024-08-25,12:07:15,-42.50,-15.82,9.60,125.70,-2.40,-18.20,217.29,32.20,20.60,3.83
2024-08-25,12:07:17,-43.18,-14.65,9.60,113.50,4.60,-16.40,218.64,40.70,20.60,3.83
2024-08-25,12:07:19,-43.55,-13.84,9.50,118.00,-0.80,-15.70,219.55,36.50,20.60,3.83
2024-08-25,12:07:20,-43.55,-13.84,9.50,112.70,-2.40,-13.40,219.55,36.50,20.60,-21.00
2024-08-25,12:07:23,-43.55,-13.84,9.50,46.70,35.40,2.80,219.55,9.30,20.50,3.83
2024-08-25,12:07:25,-42.45,-13.12,9.00,12.20,31.20,-2.50,221.03,31.70,20.50,3.83
2024-08-25,12:07:27,-41.52,-13.02,8.70,3.40,25.40,-1.60,222.06,31.70,20.50,3.83
2024-08-25,12:07:29,-40.58,-12.92,8.30,6.70,17.10,-0.80,223.10,31.40,20.60,3.83
2024-08-25,12:07:31,-39.40,-12.87,8.00,354.20,6.30,-17.40,224.32,39.40,20.60,3.83
2024-08-25,12:07:33,-38.78,-12.95,7.90,349.10,7.30,-16.70,224.97,19.20,20.60,3.83
2024-08-25,12:07:35,-37.59,-13.21,7.80,352.70,18.40,-7.30,226.19,36.80,20.60,3.83
2024-08-25,12:07:37,-37.59,-13.21,7.30,16.70,37.90,17.00,226.52,16.00,20.60,3.83
2024-08-25,12:07:39,-36.70,-12.88,7.00,17.60,24.30,9.30,227.55,27.20,20.70,3.83
2024-08-25,12:07:41,-35.80,-12.74,6.40,358.10,7.90,-22.50,228.64,33.90,20.70,3.83
2024-08-25,12:07:43,-34.64,-13.08,6.30,326.60,17.10,-22.90,229.87,37.50,20.80,3.83
2024-08-25,12:07:45,-34.32,-13.49,6.10,286.90,-0.60,-8.50,230.45,23.70,20.90,3.83
2024-08-25,12:07:46,-34.32,-13.49,6.10,277.30,-5.90,-13.10,230.45,23.70,20.90,-22.00
2024-08-25,12:07:49,-34.32,-13.49,6.20,207.60,-9.00,-7.70,230.45,8.30,21.00,3.83
2024-08-25,12:07:51,-35.64,-13.69,6.30,159.40,-8.10,-1.80,231.87,32.20,21.00,3.83
2024-08-25,12:07:53,-36.38,-13.02,6.40,118.20,-6.00,14.60,232.90,31.70,21.10,3.83
2024-08-25,12:07:55,-36.49,-12.79,6.40,114.60,-13.20,28.20,233.16,27.80,21.10,-23.00
2024-08-25,12:08:02,-36.49,-12.79,6.70,156.60,-25.80,11.40,233.16,32.80,21.10,3.83
2024-08-25,12:08:04,-37.83,-11.98,6.90,146.80,-16.40,22.90,234.90,35.10,21.10,3.83
2024-08-25,12:08:06,-38.77,-11.46,7.10,151.60,-15.90,14.60,236.00,34.20,21.10,3.83
2024-08-25,12:08:08,-39.72,-10.98,7.50,160.10,-23.90,17.00,237.16,34.20,21.00,3.83
2024-08-25,12:08:10,-40.80,-10.64,7.70,161.90,-14.10,-4.40,238.32,32.80,21.00,3.83
2024-08-25,12:08:12,-41.79,-10.14,8.00,145.10,-16.20,-9.60,239.48,35.80,20.90,3.83
2024-08-25,12:08:14,-42.62,-9.21,8.30,117.50,-5.50,-10.00,240.77,39.10,20.90,3.83
2024-08-25,12:08:16,-42.98,-7.91,8.30,97.10,8.30,-8.90,242.13,36.80,20.90,3.83
2024-08-25,12:08:18,-42.86,-6.96,8.30,68.40,6.50,-12.90,243.10,27.00,20.80,3.83
2024-08-25,12:08:20,-42.49,-6.32,8.30,54.00,0.70,0.00,243.87,28.00,20.80,3.83
2024-08-25,12:08:22,-41.71,-5.56,8.30,38.20,1.50,-8.40,244.97,34.80,20.70,3.83
2024-08-25,12:08:24,-40.78,-4.76,8.30,48.90,-4.90,10.80,246.19,36.10,20.70,3.83
2024-08-25,12:08:26,-39.98,-3.75,8.20,49.00,10.80,9.00,247.48,41.60,20.70,3.83
2024-08-25,12:08:28,-39.15,-3.07,8.10,10.90,21.40,-19.20,248.58,36.50,20.70,3.83
